guest,type,finding,tag,tier,count,reps
Business,blind-spot,Location not right,BS,strong,6,8
Business,mis-weight,extra help / clear info,MW,emerging,4,8
Business,contradiction,they didn't book elsewhere — just didn't come,CON,emerging,4,8
Business,blind-spot,near the event / party floor,BS,emerging,4,8
Business,blind-spot,No — eats in the room or off-site,BS,emerging,4,8
Business,mis-weight,a local tip,MW,emerging,4,8
Business,mis-weight,setting up a special day,MW,emerging,4,8
Business,blind-spot,a place with parking or a shuttle,BS,emerging,3,8
Business,blind-spot,promised but not given,BS,emerging,3,8
Business,blind-spot,the ship / venue / hospital,BS,emerging,3,8
Business,blind-spot,Staff did something extra without being asked,BS,emerging,3,8
Business,blind-spot,Staff remembered something about them,BS,emerging,3,8
Business,blind-spot,"Says nothing, but tells friends or co-workers",BS,emerging,3,8
Business,blind-spot,a quiet room,BS,emerging,3,8
Business,blind-spot,something to do at night when nothing's open,BS,emerging,3,8
Early flight / late arrival,blind-spot,Before the café opens,BS,strong,4,5
Early flight / late arrival,blind-spot,Staff did something extra without being asked,BS,strong,3,5
Early flight / late arrival,blind-spot,remembering what they like,BS,strong,3,5
Early flight / late arrival,blind-spot,something to do at night when nothing's open,BS,strong,3,5
Early flight / late arrival,blind-spot,improvise,BS,strong,3,5
Holiday,mis-weight,a local tip,MW,strong,3,3
Medical,contradiction,they didn't book elsewhere — just didn't come,CON,strong,3,4
Medical,blind-spot,a quiet room,BS,strong,3,4
Executive / VIP,contradiction,"Your VIPs pull two ways — 5 want discretion, 3 want to be recognised",CON,strong,3,8
Executive / VIP,blind-spot,Discretion and privacy,BS,strong,5,8
Executive / VIP,blind-spot,Staff remembered something about them,BS,emerging,4,8
Executive / VIP,blind-spot,"help finding something nearby (pharmacy, cash, late food)",BS,emerging,3,8
Executive / VIP,blind-spot,improvise,BS,emerging,3,8
